2026-03-23 17:06:06.235 | INFO     | __main__:handle_disconnect:56 | Client disconnected
2026-03-23 17:06:08.095 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:06:08.096 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:06:08.096 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:09:10.710 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:09:10.715 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:09:10.715 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:09:10.780 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:09:10.781 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:09:10.781 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:09:38.333 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:09:38.337 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:09:38.338 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:09:39.712 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:09:39.713 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:09:39.713 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
2026-03-23 17:09:57.319 | INFO     | __main__:handle_disconnect:56 | Client disconnected
2026-03-23 17:09:59.203 | INFO     | __main__:handle_connect:48 | Client connected
2026-03-23 17:09:59.204 | INFO     | src.crawler.crawler_manager:register_crawler:30 | 注册爬虫: 日本煤炉
2026-03-23 17:09:59.204 | INFO     | src.crawler.crawler_manager:load_scrapers:261 | 动态加载爬虫: 日本煤炉 (MercariCrawler)
